clean_text,Label,char_len,word_count
nyata bestienya koruptor kakap pertamina riva siahaan pant mulut andre panas terus sama ahok rupa bela kawan dre kamu amplop pertamax oplos ya kata wakil rakyat klu kayak gin kamu wakil koruptor dong,0,244,38
salah satu lebih pertamax oplos rubah suara knalpot motor,0,70,10
juga win,1,12,3
td pagi buka tiktok yang lucu sekarang konoha smua serba palsu beli pertamax isi pertalite pilih si gemoyyy isi jokowoooyyy,0,130,22
herman khaeron amplop pertamina oplos,0,43,6
turun angkot bilang assalamualaikum,1,40,5
herman kaeron dpr partai demokrat,1,33,5
herman khaeron dpr terima amplop,0,36,6
terimakasih allah ata izin hari kami beri nafas,2,64,11
pegang onic,1,15,3
pertamax oplo ini temu kandung minyak mungkin pasca lebaran jadi rambah yang misal beras gula tempung yang lain,0,165,26
uang dr koruptor timah t uang dr ngoplos pertamax t uang dr koruptor lain t uang danantara ad t uang pd kmn mas,1,146,30
ijazah palsu orang pimpin selanjunya terbit citra palsu poryek palsu disertasi palsu pertamax palsu emas palsu pupuk palsu yang palsu,0,148,22
pertamax pertashop sama produk gagal,0,41,6
panjang umur orang baik,1,24,4
mendem pertamax,0,15,2
jarang mens efek kb jadi terus,1,35,7
allah tunjuk kpd yang pertamax pertamax kuat untuk bel tunjuk yang pertalite pertalite kuat untuk tak tipu oplos,1,181,28
harus mutasi alam kubur,0,31,5
awal pikir nama teteh euis euismanufaktur pas lihat atas hmmm memeable ni,1,83,13
pajak langsung potong tiap bulan pln langsung bayar tiap bulan pertalitepertamax langsung bayar tiap transaksi gas sama kata turun mulu rugi mulu misteri negara memang tan setan kaya kamu ndak ajine deh sekarang kalah ma laku,0,267,42
rakyat bentuk panja pertamina korupsi besar laku jabat gaji koruptor tsb besar laku kelompok laku bumn milik rakyat rakyat rugi rusak mesin rakyat bayar lebih harga pertamax mutu pertalite,0,247,39
pak harta koruptor pertamina sita semua terus uang beli pertamax jual harga jauh lebih murah,1,116,19
otak mungil sedikit pikir kalau benar pertalite kita beli asli pertamax pertamax asli pertamax turbo kalau kasus kemarin kejadiannnya fakta kaya gtu bagaimana kira kira hmmm,1,210,31
bikin gera lebih baik harus beli pertamax,0,53,8
gigit tangan sampe kenceng iya sudah normal sender deskripsi gigit bagaimana ya soal anak kalau kesel pernah bgitu gigit gremet geme bukan smpe bekas kenceng,1,214,36
pertamax subsidi shell non subsidi tara pertamax ko beda dikit sangat sudah gitu boncos mulu kata pertamax,0,132,21
tuju,2,6,1
bilang sejak pertamax oplos mesin palmer,0,48,7
lah ikut minum pertamax,1,31,6
masa mau kayak pertamina mulai nol ntar kayak pertamax,0,69,12
durhaka u gin,1,13,3
tabalong,1,15,3
cinlok samawa kacang wait untill find daltrakkapor bagdaladakapossatlap subditbinkaporsatlap ditbekangad,1,104,10
baru minum pertamax turbo kali bang,1,35,6
kata politic football bagaimana sih jangan permisif gitu dong lihat noh pertamina colong pertamax oplos sapa menteri bumnnya jangan prcya thohir,0,158,23
posthink mungkin biar gampang nentuin tikum neraka entar,0,63,10
pertamax oplos minyak ukur korupsi emas antam palsu timah korupsi hutan gundul anggar pangkas disertasi doktor plagiat msh sabar eh sekarang jatah makan anak kecil korupsi terus masih mau diam,0,233,34
tunggu piara menggongong dewa suruh lebih kenceng bang ngegonggongnya mulut sama bau banyak diumpanin oplos pertamax,0,148,19
baru tau pertamax asli warna itu,1,43,7
wioooii nyata kau abis adu mekanik sama psk kau razia kau bayar,1,78,14
curiga grup gibahin xixi toioi sangat yah masyarakat pertamax oplo tidak yang sadar xixi makin senang kita,0,134,24
nyata abis jilat pantat peeleer si riva siahaan mafia migas pertamina,0,76,12
moga jagung masuk angin,1,31,5
nyata ketangkep habi jilat pantat peler si riva siahaan mafia migas pertamina,0,84,13
saeron sini seger manis sangat efek kasmaran kali sayang pin ama setan,0,86,15
panik pak video desak akhir ngancam,0,51,8
woooi psk ko pake bayar,0,37,7
turut normal anak gaya keselmarahnya beda,1,54,8
lempar kolam terna buaya bangun penjara habisin anggran koruptor jadi atm tugas rutan praktek pungli rajalela,0,126,18
pertashop bentuk tipu nyata pertamina warga butuh mudah isi bbm jangkau pertalite diakomodir pertashop pertamax sekarang banyak tu pertashop tutup laku ape mereka yang beli franchise,0,240,37
bee baru adzan sini amiiiin moga hari segala sesuatu jalan berkah lancar,2,107,17
terimakasih ingat kak asta,1,33,4
jamin pakai nyata maling,0,46,6
saja bikin qr code biar beli pertalite asa tipu mentah mentah beli pertamax bulan,0,95,17
ganteng bunuh,0,17,2
pertamina aju tuntut hukum pidana atas koruptor atas tindak tipu produk pertamax jadi tindak hukum pidana tipu beda tindak pidana korupsi tambah hukum pidana tambah jadi bentuk ajar hukum ata dampak jadi,0,269,39
jare wong tuban opo iku pertamax kilang minyak n gas pertamina akih pertamaxe g payu,0,88,16
bikin rusak reputasi polri,0,26,4
gara sosis,1,11,2
koruptor cukup masuk kolam terna buaya buat penjara koruptor ngabisin anggar akan jadi tempat pungli para tugas rutan,0,153,23
